date,username,hashtags,tweet
2022-08-06,johne_sawyer,[],@ViT0ViT0ViT0 @_Sanjin95_ @jameswerk @BitcoinxDaily @bnBeth_solvax @ktrainUSA_STEPN The level of knowledge of back door banditing is a little concerning. Sounds like he might be at risk for monkey pox 😂
2022-08-06,stevieconksu,[],Katie Hopkins has called Monkey Pox the “Monkey Buming Plague” and she is spot on. What a icon.
2022-08-06,newsis4everyone,[],"Precautions to take against COVID-19 and monkeypox, and the possible spread of polio  https://t.co/MMXkBoEz2R"
2022-08-06,lebowski309,[],"@WernerTwertzog My new book is coming out in 2023. Life is Shit. And, you’ll probably die of monkey pox. Or Ape warts. Or Silverback Sores."
2022-08-06,micmittens,[],@KaylaChowShow Does this look like monkeypox?
2022-08-06,panuzis,[],"@Jennyflower This is like walking into a restaurant with an extremely limited menu ..a n d there's n o t h i n g you can eat ...  Suppose we'll have zero time with Sunak (leaving), you only have to live with Monkey Pox 2 weeks, so it has to be Truss, we could have to put up with for 2 years"
2022-08-06,pauloreturns04,[],"@estherk_k Well there's no monkeypox to start with. The ppl who are apparently catching it are ALL jabbed. Ppl have got shingles, they called it monkeypox,ppl have got aids, they have called it monkeypox,ffs wake up"
2022-08-06,fakeleftsucks,[],"""Monkey pox cases were rare for years. During the last years a single case was documented in Israel. It is well established the mRNA vaccines affect the natural immune system. A monkey pox outbreak following massive covid vaccination: *Is not a coincidence."
2022-08-06,khensliwilliams,[],@enews Best news since monkey pox
2022-08-06,innovate_at_bbc,[],"Congratulations to Innovators at BBC! Sum Total, , Monkey Pox detection kit, Gamma Decalactone and Cis 3 Hexanol, Greenonutriase and Engineered Halogenases, Neuheart and Pure Neeru and Oncodx,  were the products that were lauched today  https://t.co/IDa9W0y7uI"
2022-08-06,onerebelboi1,"['covid', 'monkeypox']","People who say #COVID or #monkeypox  are ""scamdemics"" are just ignorant. It doesn't take a genius to look it up, or even go outside and see someone covered in bumps and/or coughing or even catch the virus itself. STOP with this ""plandemic/scamdemic bull. Don't care what you say."
2022-08-06,vegv1rg1n,[],"i hate feeling like i’m the only one who cares about something (food waste, covid, the drought, monkeypox) even if i know *other* people out there care about those things, it’s so isolating when the people around you don’t :/"
2022-08-06,byron_mcfadden,[],Some people were so judgmental and overpowering during covid. Now those same people want to handle monkeypox with kid gloves at the expense of effective policy.
2022-08-06,amaniprophecy,[],Like bitch monkey pox isn't a thing 🙁
2022-08-06,ramseyunknown,[],CDC issues monkeypox ‘safe sex’ guide  https://t.co/H12GQomR1Y
2022-08-06,bigmike_ak,[],"@GrowingJohnsons GO SEE A DOCTOR ASAP!!!  Don’t know if Monkey Pox, Brown Recluse spider, or something else, but bad at any rate.   Go, Go, Go!  https://t.co/ZzImRjigUj"
2022-08-06,fpizart,[],"Medscape: Kevin Kwong initially thought the problem was eczema. Several appointments later, scared and in pain, Kwong received two incorrect diagnoses before an infectious disease specialist diagnosed him with monkeypox.  https://t.co/z0ny9sKEvb  https://t.co/xgZZ7wUytr"
2022-08-06,fpizart,[],"Medscape: With upwards of 6600 reported cases of monkeypox cases in the US, the Dept of Health and Human Services has cleared a public emergency.  https://t.co/tZflv3bdDC  https://t.co/7P6j3oW48c"
2022-08-06,shoalbear,[],"@DrAudreyGlover @xSASQUATCHxx Silly, that's for the plandemic. For Monkeypox you drink monkey urine mixed with bleach, followed by a light bulb up your tuchus. DUH"
2022-08-06,suehans12977319,[],@POTUS has monkeypox
2022-08-06,tomella28,[],@GBNEWS Why a picture of a child?that's not the source of the monkey pox
2022-08-06,brandonjay21,[],"I’m already tired of “is it monkeypox or a zit” even though, I’m pretty sure, would be more obvious…"
2022-08-06,joe75977836,[],Spreading rumors at the club that someone has monkey pox
2022-08-06,mohammadsajeer4,[],Monkeypox Declared Public Health Emergency in the U.S.  https://t.co/mIaFxyYwm6
2022-08-06,vickisolicki,['monkeypox'],I’m low key scared to go to work now with all this #monkeypox shit going around 😩
2022-08-06,_sincerelydanny,[],Seeing all these pictures and videos of monkeypox is making my skin crawl! 😭😭😭😭😭😭😭😭😭😭😭😭😭  https://t.co/XYBl9gc2YD
2022-08-06,allenamyas,[],"If restricting the freedom of gay men won’t stop HIV or monkeypox, why would restricting the freedom of everyone—with lockdowns, closures, or mask mandates—stop COVID?"
2022-08-06,koparafallskid,['monkeypox'],Bit of detail about #monkeypox   https://t.co/AZvvkw4RiE
2022-08-06,imacrepair,[],@America1Scotty So he’s supporting a “Monkey Pox is Love” day next??
2022-08-06,kamiron_,[],Is it monkeypox or is it acne fr
2022-08-06,countingcoins_,[],"@BillyM2k @elonmusk @WholeMarsBlog with all the talk about monkeypox, What is the best monkeypox theme song (monkey song) I will go first…   https://t.co/TefpEjKvxP"
2022-08-06,indy_5hundred,[],I’m scared of monkeypox. Why can’t these plagues come and go during the winter?
2022-08-06,mir_ocall,"['covid19', 'monkeypox', 'climateemergency', 'valdifassa']","This is N Italy last night.  Globally, the politics in charge of #Covid19 and #Monkeypox is the same politics in charge of #ClimateEmergency   Mild We have the tools #ValdiFassa"
2022-08-06,boznjerz,[],"@dbongino Why isn't CNN etc BOMBARDING viewers with Ways to Avoid getting and Spreading MONKEYPOX? No touching, Soap&amp;Water, Hand Sanitizer, Condoms, avoid ORGYS So Simple.  Add No amount of Masks prevent spread."
2022-08-06,mothershipsg,[],"First local linked case of monkeypox confirmed in S'pore on Aug. 5, 2022  https://t.co/hpP452afce  https://t.co/1QO0v35BnU"
2022-08-06,doppelgangerowl,[],“Health experts explain the difference between monkeypox and COVID-19”   https://t.co/C8tnCVY9Jz
2022-08-06,saskiapopescu,[],"Illinois day-care worker tests positive for monkeypox, officials say, but no cases reported in children - CNN  https://t.co/wgFbywXrc9"
2022-08-06,jaidanmaries,[],"Spain leads Europe in monkeypox, struggles to check spread - ABC News  https://t.co/KeCNpyBSXm"
2022-08-06,jaidanmaries,[],Manitoba expanding monkeypox vaccine to certain men who have sex with men -  https://t.co/4YeWSVndof  https://t.co/tomL2PNv0H
2022-08-06,bigtimecomics,[],"@_VYGRR KG it isn't just a cosmetic or ugly thing  Having monkeypox is really painful, and can spread to areas like the genitals mouth and eyes and can cause blindness and be deadly  Its not just scars and shit and lasts for awhile and spread easily"
