,user_created_at,user_screen_name,text,tweet_url,user_location,hashtags
12446,Wed Oct 15 00:35:27 +0000 2014,oakjer,@JAFERDIAN what the fuck is monkey pox. No.,https://twitter.com/oakjer/status/1527379407186186246,Berlin,
12447,Wed Oct 15 01:16:34 +0000 2008,Mykuhl,"@VenerableDonkey @real_RAoP Yes. But also we probably don't need (or want)a mass vaccination against monkey pox. While it's hard to know right now, it seems to be able to be ringfenced, and just vaccinating those who are likely to come into contact seems a better bet. 

It can be a fairly nasty vaccine.",https://twitter.com/Mykuhl/status/1527795070451470336,"mostly Auckland, New Zealand,",
12448,Wed Oct 15 05:11:21 +0000 2008,wcbs880,"BREAKING: Health department investigating possible monkey pox case in NYC
https://t.co/Q9fQNVz4LY https://t.co/FApjzYigis",https://twitter.com/wcbs880/status/1527414690443317248,NYC,
12449,Wed Oct 15 11:54:23 +0000 2008,ElliotCowanYes,"@daveanthony Where there’s monkey cocks, there’s monkey pox.",https://twitter.com/ElliotCowanYes/status/1527383444090650624,"Queens, New York",
12450,Wed Oct 15 17:33:24 +0000 2014,DanOfChorlton,"@drbobphillips @Sun_On_My_Side Maybe you are on the “wrong” side  of the Pennines, although I doubt Associated Dairies would want to be associated with Monkey Pox…",https://twitter.com/DanOfChorlton/status/1527036493142835201,Chorltonville,
12451,Wed Oct 15 19:43:52 +0000 2008,HillReporter,Senate Passes $40B Ukraine Aid Package https://t.co/KK77e83gcU,https://twitter.com/HillReporter/status/1527432179285774336,"SEA, PDX, CLT, NYC, LAX, LAS",
12452,Wed Oct 15 19:53:21 +0000 2008,jessimcalpine,"Monkey pox cases under investigation in Canada as outbreak spreads in Europe, US. https://t.co/almb0tFRrk https://t.co/KUbgwIGv1G",https://twitter.com/jessimcalpine/status/1527051415448915969,"London, Ontario/Treaty 6 terr.",
12453,Wed Oct 16 02:06:48 +0000 2019,RealSaltySlim,"I’m on monkey pox booster 4, rookie https://t.co/QBzWK5d7xu",https://twitter.com/RealSaltySlim/status/1527414952104972300,"Lafayette, LA",
12454,Wed Oct 16 06:12:46 +0000 2019,SalemJakes,"MONKEY POX  ALERT

New York City reports first suspected case of monkeypox",https://twitter.com/SalemJakes/status/1527426962754523137,Yooperland,
12455,Wed Oct 16 06:12:46 +0000 2019,SalemJakes,Monkey pox https://t.co/Z6f1oa2EMc,https://twitter.com/SalemJakes/status/1527401744812195840,Yooperland,
